,start_time,end_time,chord,song_num
0,0.0,2.72,start_chord,0
1,2.72,4.06,B:maj,0
2,4.06,5.39,C#:maj,0
3,5.39,6.72,Bb:min,0
4,6.72,8.06,Eb:min,0
5,8.06,9.39,B:maj,0
6,9.39,10.72,C#:maj,0
7,10.72,13.39,F#:maj,0
8,13.39,14.06,B:maj,0
9,14.06,14.72,F#:maj7,0
10,14.72,16.06,C#:maj,0
11,16.06,16.72,Bb:min,0
12,16.72,17.39,Bb:sus4,0
13,17.39,18.72,Eb:min,0
14,18.72,19.39,B:maj,0
15,19.39,20.06,F#:maj7,0
16,20.06,21.39,C#:maj,0
17,21.39,24.06,F#:maj,0
18,24.06,25.39,B:maj,0
19,25.39,26.72,C#:maj,0
20,26.72,28.06,Bb:min,0
21,28.06,29.39,Eb:min,0
22,29.39,30.72,B:maj,0
23,30.72,32.06,C#:maj,0
24,32.06,34.72,F#:maj,0
25,34.72,36.06,B:maj,0
26,36.06,37.39,C#:maj,0
27,37.39,38.72,Bb:min,0
28,38.72,40.06,Eb:min,0
29,40.06,41.39,B:maj,0
30,41.39,42.72,C#:maj,0
31,42.72,45.39,F#:maj,0
32,45.39,46.06,B:maj,0
33,46.06,46.72,F#:maj7,0
34,46.72,48.06,C#:maj,0
35,48.06,48.72,Bb:min,0
36,48.72,49.39,Bb:sus4,0
37,49.39,50.72,Eb:min,0
38,50.72,51.39,B:maj,0
39,51.39,52.06,F#:maj7,0
40,52.06,53.39,C#:maj,0
41,53.39,56.06,F#:maj,0
42,56.06,56.72,B:maj,0
43,56.72,57.39,F#:maj7,0
44,57.39,58.72,C#:maj,0
45,58.72,59.39,Bb:min,0
46,59.39,60.06,Bb:sus4,0
47,60.06,61.39,Eb:min,0
48,61.39,62.06,B:maj,0
49,62.06,62.72,F#:maj7,0
50,62.72,64.06,C#:maj,0
51,64.06,66.72,F#:maj,0
52,66.72,68.06,B:maj,0
53,68.06,69.39,C#:maj,0
54,69.39,70.72,Bb:min,0
55,70.72,72.06,Eb:maj,0
56,72.06,73.39,B:maj,0
57,73.39,74.72,C#:maj,0
58,74.72,77.39,F#:maj,0
59,77.39,78.72,B:maj,0
