,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
start_chord,3,1,9,3,20,3,6,15,8,5,5,13
B:maj,28,870,84,688,798,64,828,131,871,230,405,995
C#:maj,362,708,13,939,56,597,535,106,660,65,896,107
Bb:min,339,419,6,666,7,606,263,70,566,17,744,27
Eb:min,90,604,18,692,70,378,367,0,643,13,558,208
F#:maj,120,658,50,1108,149,587,669,21,767,33,551,643
F#:maj7,0,55,0,53,0,26,42,0,30,0,55,0
Bb:sus4,19,14,4,46,0,8,8,6,21,0,35,0
Eb:maj,1026,106,401,813,20,1093,22,791,538,202,928,105
F#:sus2,1,47,0,51,8,30,37,0,20,21,18,25
end_chord,0,0,0,0,0,0,0,0,0,1,0,0
E:maj,144,1079,210,363,809,31,884,46,594,705,143,952
Ab:min,18,820,5,544,325,50,637,15,798,34,278,486
C#:min,20,801,29,419,492,3,1004,23,576,327,96,444
C#:min7,0,41,1,37,43,0,83,0,68,33,10,80
B:sus2,0,42,6,23,27,4,63,0,40,38,13,25
F#:7,0,35,3,20,11,0,10,0,2,0,0,17
F#:sus4,0,29,16,18,15,0,66,1,8,9,2,26
Ab:maj,573,667,144,950,69,1135,124,445,618,14,1113,52
G:min7,62,0,71,30,9,58,0,66,4,23,76,0
Eb:sus2,31,11,12,45,0,47,23,25,25,0,39,1
Bb:maj,1086,15,647,685,159,854,69,1335,150,561,685,12
F:maj,937,50,1140,167,575,889,9,1421,42,858,579,185
G:min,910,0,631,420,58,681,15,808,22,471,614,0
D:min7,97,0,171,1,32,50,0,126,0,70,25,16
D:min,666,40,847,30,446,668,6,1213,15,709,242,121
B:maj7,0,43,2,52,8,2,38,0,67,0,42,51
F:dim,0,9,0,11,8,0,14,0,4,0,4,4
Bb:min7,53,49,0,46,8,85,76,19,91,0,154,0
Ab:7,0,27,0,72,11,17,12,6,27,4,6,0
Bb:7,2,1,1,13,0,6,2,22,4,0,36,2
Eb:sus4,18,28,0,76,4,20,0,11,36,0,48,0
C:maj,763,23,1274,56,880,668,167,1096,81,1403,133,728
B:min,72,357,529,14,823,41,745,393,99,677,22,1064
A:min,572,6,1063,22,782,297,147,801,23,944,26,578
D:7,2,0,34,0,15,6,21,29,0,39,13,65
G:maj,966,148,1200,116,1224,199,535,1290,23,1335,42,868
A:min7,115,0,109,4,65,34,10,145,0,77,7,60
D:maj,131,417,798,31,1102,50,705,789,124,1063,93,1169
G:maj7,2,1,23,0,32,0,21,29,0,22,1,41
G:sus4,71,3,61,15,36,9,0,60,0,21,5,9
E:min,405,90,692,37,967,95,399,682,0,931,4,804
B:7,0,5,1,0,17,0,21,6,6,0,3,31
E:min7,46,0,76,0,111,1,43,73,3,72,0,92
A:maj,65,553,732,156,1061,149,1193,123,438,817,26,1120
C:min,818,19,407,519,0,978,6,597,335,53,679,27
B:min7,14,54,58,0,123,0,53,108,4,70,0,92
D:sus4,13,0,53,0,43,16,5,106,0,26,24,33
G:sus2,33,2,61,2,57,23,4,44,0,58,18,51
Ab:maj6,8,15,0,6,0,19,0,1,6,0,15,0
Bb:maj6,10,0,9,7,1,9,0,15,1,6,8,0
Ab:maj7,43,3,2,33,0,40,0,15,12,4,63,4
F:min,513,366,86,671,29,717,34,372,409,0,988,15
Eb:maj6,0,0,0,9,0,4,0,0,6,0,16,0
Eb:maj7,50,0,30,19,5,28,0,46,0,8,29,2
